"Institute","WebsiteCountry","SuggestedCountry_Copilot","Status","InstituteKey","WebsiteCountryCount","SuggestedCountryCount"
"Immanuel Kant State University of Russia (Kaliningrad State University)","United States of America","United States of America","Match","immanuel kant state university of russia kaliningrad state university","1","1"
"Imperial College London","United Kingdom","United Kingdom","Match","imperial college london","1","1"
"IMT Atlantique","United States of America","United States of America","Match","imt atlantique","1","1"
"Incheon National University (University of Incheon)","United States of America","United States of America","Match","incheon national university university of incheon","1","1"
"Indian Agricultural Research Institute","United States of America","United States of America","Match","indian agricultural research institute","1","1"
"Indian Institute of Engineering Science and Technology Shibpur (Bengal Engineering and Science University)","United States of America","United States of America","Match","indian institute of engineering science and technology shibpur bengal engineering and science university","1","1"
"Indian Institute of Information Technology Allahabad","United States of America","United States of America","Match","indian institute of information technology allahabad","1","1"
"Indian Institute of Science Bangalore","United States of America","United States of America","Match","indian institute of science bangalore","1","1"
"Indian Institute of Science Education and Research Bhopal","United States of America","United States of America","Match","indian institute of science education and research bhopal","1","1"
"Indian Institute of Science Education and Research Kolkata","United States of America","United States of America","Match","indian institute of science education and research kolkata","1","1"
"Indian Institute of Science Education and Research Mohali","United States of America","United States of America","Match","indian institute of science education and research mohali","1","1"
"Indian Institute of Science Education and Research Pune","United States of America","United States of America","Match","indian institute of science education and research pune","1","1"
"Indian Institute of Science Education and Research Thiruvananthapuram","United States of America","United States of America","Match","indian institute of science education and research thiruvananthapuram","1","1"
"Indian Institute of Technology (Banaras Hindu University) Varanasi","United States of America","United States of America","Match","indian institute of technology banaras hindu university varanasi","1","1"
"Indian Institute of Technology (Indian School of Mines) Dhanbad","United States of America","United States of America","Match","indian institute of technology indian school of mines dhanbad","1","1"
"Indian Institute of Technology Bhubaneswar","United States of America","United States of America","Match","indian institute of technology bhubaneswar","1","1"
"Indian Institute of Technology Bombay","United States of America","United States of America","Match","indian institute of technology bombay","1","1"
"Indian Institute of Technology Delhi","United States of America","United States of America","Match","indian institute of technology delhi","1","1"
"Indian Institute of Technology IIT Gandhinagar","United States of America","United States of America","Match","indian institute of technology iit gandhinagar","1","1"
"Indian Institute of Technology IIT Guwahati","United States of America","United States of America","Match","indian institute of technology iit guwahati","1","1"
"Indian Institute of Technology IIT Hyderabad","United States of America","United States of America","Match","indian institute of technology iit hyderabad","1","1"
"Indian Institute of Technology IIT Indore","United States of America","United States of America","Match","indian institute of technology iit indore","1","1"
"Indian Institute of Technology IIT Jodhpur","United States of America","United States of America","Match","indian institute of technology iit jodhpur","1","1"
"Indian Institute of Technology IIT Kanpur","United States of America","United States of America","Match","indian institute of technology iit kanpur","1","1"
"Indian Institute of Technology IIT Kharagpur","United States of America","United States of America","Match","indian institute of technology iit kharagpur","1","1"
"Indian Institute of Technology IIT Madras","United States of America","United States of America","Match","indian institute of technology iit madras","1","1"
"Indian Institute of Technology IIT Mandi","United States of America","United States of America","Match","indian institute of technology iit mandi","1","1"
"Indian Institute of Technology IIT Patna","United States of America","United States of America","Match","indian institute of technology iit patna","1","1"
"Indian Institute of Technology IIT Roorkee","United States of America","United States of America","Match","indian institute of technology iit roorkee","1","1"
"Indian Institute of Technology IIT Ropar","United States of America","United States of America","Match","indian institute of technology iit ropar","1","1"
"Indian Institute of Technology-Madras Zanzibar Campus","Tanzania","Tanzania","Match","indian institute of technology madras zanzibar campus","1","1"
"Indian Statistical Institute Kolkata","United States of America","United States of America","Match","indian statistical institute kolkata","1","1"
"Indiana University","United States of America","United States of America","Match","indiana university","1","1"
"Indiana University Bloomington","United States of America","United States of America","Match","indiana university bloomington","1","1"
"Indiana University of Pennsylvania","United States of America","United States of America","Match","indiana university of pennsylvania","1","1"
"Indraprastha Institute of Information Technology Delhi","United States of America","United States of America","Match","indraprastha institute of information technology delhi","1","1"
"Inha University","South Korea","South Korea","Match","inha university","1","1"
"Inje University","United States of America","United States of America","Match","inje university","1","1"
"Inland Norway University of Applied Sciences","United States of America","United States of America","Match","inland norway university of applied sciences","1","1"
"Inner Mongolia Agricultural University","United States of America","United States of America","Match","inner mongolia agricultural university","1","1"
"Inner Mongolia University","United States of America","United States of America","Match","inner mongolia university","1","1"
"Inner Mongolia University of Technology","United States of America","United States of America","Match","inner mongolia university of technology","1","1"
"Innopolis University","United States of America","United States of America","Match","innopolis university","1","1"
"Inonu University Malatya","United States of America","United States of America","Match","inonu university malatya","1","1"
"INP Toulouse/ Institut National Polytechnique de Toulouse (University Federale Toulouse Midi-Pyrenees)","United States of America","United States of America","Match","inp toulouse institut national polytechnique de toulouse university federale toulouse midi pyrenees","1","1"
"INSEAD","France","France","Match","insead","1","1"
"Institut de Physique du Globe de Paris IPGP (Alliance Sorbonne Paris Cite)","United States of America","United States of America","Match","institut de physique du globe de paris ipgp alliance sorbonne paris cite","1","1"
"Institut Eurecom Ecole dIngenieurs en Systemes de Communication","United States of America","United States of America","Match","institut eurecom ecole dingenieurs en systemes de communication","1","1"
"Institut National des Sciences Appliquees de Lyon","United States of America","United States of America","Match","institut national des sciences appliquees de lyon","1","1"
"Institut National des Sciences Appliquees de Lyon (INSA)","France","France","Match","institut national des sciences appliquees de lyon insa","1","1"
"Institut National des Sciences Appliquees de Rennes/ INSA Rennes","United States of America","United States of America","Match","institut national des sciences appliquees de rennes insa rennes","1","1"
"institut National des sciences Appliquees de Rouen","United States of America","United States of America","Match","institut national des sciences appliquees de rouen","1","1"
"Institut National des Sciences Appliquees de Strasbourg","United States of America","United States of America","Match","institut national des sciences appliquees de strasbourg","1","1"
"Institut National des Sciences Appliquees de Toulouse","United States of America","United States of America","Match","institut national des sciences appliquees de toulouse","1","1"
"Institut polytechnique de Grenoble - Grenoble Institute of Technology","France","France","Match","institut polytechnique de grenoble grenoble institute of technology","1","1"
"Institut Polytechnique de Paris","France","France","Match","institut polytechnique de paris","1","1"
"Institut Teknologi Bandung","United States of America","United States of America","Match","institut teknologi bandung","1","1"
"Institut Teknologi Sepuluh Nopember","United States of America","United States of America","Match","institut teknologi sepuluh nopember","1","1"
"Institut Teknologi Sepuluh Nopember (ITS)","Indonesia","Indonesia","Match","institut teknologi sepuluh nopember its","1","1"
"Institute for Advanced Study","United States of America","United States of America","Match","institute for advanced study","1","1"
"Institute of Business Administration Sukkur","United States of America","United States of America","Match","institute of business administration sukkur","1","1"
"Institute of Cancer Research University of London","United Kingdom","United Kingdom","Match","institute of cancer research university of london","1","1"
"Institute of Chemical Technology","United States of America","United States of America","Match","institute of chemical technology","1","1"
"Institute of Mathematical Sciences","United States of America","United States of America","Match","institute of mathematical sciences","1","1"
"Institute of Tropical Medicine Antwerp","United States of America","United States of America","Match","institute of tropical medicine antwerp","1","1"
"Instituto de Empresa Business School","United States of America","United States of America","Match","instituto de empresa business school","1","1"
"Instituto Federal de Educacao Ciencia e Tecnologia de Sao Paulo IFSP","United States of America","United States of America","Match","instituto federal de educacao ciencia e tecnologia de sao paulo ifsp","1","1"
"Instituto Federal de Educacao Ciencia e Tecnologia do Ceara","United States of America","United States of America","Match","instituto federal de educacao ciencia e tecnologia do ceara","1","1"
"Instituto Federal de Educacao Ciencia e Tecnologia do Espirito Santo","United States of America","United States of America","Match","instituto federal de educacao ciencia e tecnologia do espirito santo","1","1"
"Instituto Federal de Educacao Ciencia e Tecnologia do Parana","United States of America","United States of America","Match","instituto federal de educacao ciencia e tecnologia do parana","1","1"
"Instituto Federal Goiano","United States of America","United States of America","Match","instituto federal goiano","1","1"
"Instituto Politecnico de Braganca","United States of America","United States of America","Match","instituto politecnico de braganca","1","1"
"Instituto Politecnico de Leiria","United States of America","United States of America","Match","instituto politecnico de leiria","1","1"
"Instituto Politecnico de Lisboa","United States of America","United States of America","Match","instituto politecnico de lisboa","1","1"
"Instituto Politecnico de Santarem","United States of America","United States of America","Match","instituto politecnico de santarem","1","1"
"Instituto Politecnico de Viana do Castelo","United States of America","United States of America","Match","instituto politecnico de viana do castelo","1","1"
"Instituto Politecnico do Porto","United States of America","United States of America","Match","instituto politecnico do porto","1","1"
"Instituto Politecnico Nacional","United States of America","United States of America","Match","instituto politecnico nacional","1","1"
"Instituto Politecnico Nacional (IPN)","Mexico","Mexico","Match","instituto politecnico nacional ipn","1","1"
"Instituto Superior de Psicologia Aplicada","United States of America","United States of America","Match","instituto superior de psicologia aplicada","1","1"
"Instituto Superior Politecnico de Viseu","United States of America","United States of America","Match","instituto superior politecnico de viseu","1","1"
"Instituto Tecnologico Autonomo de Mexico","United States of America","United States of America","Match","instituto tecnologico autonomo de mexico","1","1"
"Instituto Tecnologico Autonomo de Mexico (ITAM)","Mexico","Mexico","Match","instituto tecnologico autonomo de mexico itam","1","1"
"Instituto Universitario del Hospital Italiano de Buenos Aires","United States of America","United States of America","Match","instituto universitario del hospital italiano de buenos aires","1","1"
"International Helenic University","United States of America","United States of America","Match","international helenic university","1","1"
"International Institute of Information Technology Hyderabad","United States of America","United States of America","Match","international institute of information technology hyderabad","1","1"
"International Islamic University Islamabad","United States of America","United States of America","Match","international islamic university islamabad","1","1"
"International Islamic University Malaysia (IIUM)","Malaysia","Malaysia","Match","international islamic university malaysia iium","1","1"
"International Islamic University of Malaysia","United States of America","United States of America","Match","international islamic university of malaysia","1","1"
"International Medical University","United States of America","United States of America","Match","international medical university","1","1"
"International School for Advanced Studies","United States of America","United States of America","Match","international school for advanced studies","1","1"
"International University of Health and Welfare","United States of America","United States of America","Match","international university of health and welfare","1","1"
"INTI International University","Malaysia","Malaysia","Match","inti international university","1","1"
"Ionian University","United States of America","United States of America","Match","ionian university","1","1"
"Iowa State University","United States of America","United States of America","Match","iowa state university","1","1"
"IPB University","United States of America","United States of America","Match","ipb university","1","1"
"IPB University (aka Bogor Agricultural University)","Indonesia","Indonesia","Match","ipb university aka bogor agricultural university","1","1"
"Iqra University Karachi","United States of America","United States of America","Match","iqra university karachi","1","1"
"Iran University of Medical Sciences","United States of America","United States of America","Match","iran university of medical sciences","1","1"
"Iran University of Science & Technology Tehran","United States of America","United States of America","Match","iran university of science and technology tehran","1","1"
"Iran University of Science and Technology","Iran","Iran","Match","iran university of science and technology","1","1"
"Isfahan University of Medical Sciences","United States of America","United States of America","Match","isfahan university of medical sciences","1","1"
"Isfahan University of Technology","Iran","Iran","Match","isfahan university of technology","1","1"
"Islamia University Bahawalpur","United States of America","United States of America","Match","islamia university bahawalpur","1","1"
"Islamic University of Al Madinah","United States of America","United States of America","Match","islamic university of al madinah","1","1"
"Islamic University of Gaza","United States of America","United States of America","Match","islamic university of gaza","1","1"
"Istanbul Aydin University","United States of America","United States of America","Match","istanbul aydin university","1","1"
"Istanbul Bilgi University","United States of America","United States of America","Match","istanbul bilgi university","1","1"
"Istanbul Commerce University","United States of America","United States of America","Match","istanbul commerce university","1","1"
"Istanbul Medeniyet Universitesi","United States of America","United States of America","Match","istanbul medeniyet universitesi","1","1"
"Istanbul Medipol University","United States of America","United States of America","Match","istanbul medipol university","1","1"
"Istanbul Technical University","Turkiye","Turkiye","Match","istanbul technical university","1","1"
"Istanbul Universitesi-Cerrahpasa","United States of America","United States of America","Match","istanbul universitesi cerrahpasa","1","1"
"Istanbul University","Turkiye","Turkiye","Match","istanbul university","1","1"
"Istinye Universitesi","United States of America","United States of America","Match","istinye universitesi","1","1"
"Istituto di studi avanzati di Lucca IMT","United States of America","United States of America","Match","istituto di studi avanzati di lucca imt","1","1"
"IT University of Copenhagen","United States of America","United States of America","Match","it university of copenhagen","1","1"
"Ithaca College","United States of America","United States of America","Match","ithaca college","1","1"
"ITMO University","Russian Federation","Russian Federation","Match","itmo university","1","1"
"Ivane Javakhishvili Tbilisi State University","Georgia","Georgia","Match","ivane javakhishvili tbilisi state university","1","1"
"Iwate University","United States of America","United States of America","Match","iwate university","1","1"
"Izmir Institute of Technology","United States of America","United States of America","Match","izmir institute of technology","1","1"
"Izmir University of Economics","United States of America","United States of America","Match","izmir university of economics","1","1"
"Jackson State University","United States of America","United States of America","Match","jackson state university","1","1"
"Jadavpur University","United States of America","United States of America","Match","jadavpur university","1","1"
"Jagadguru Sri Shivarathreeshwara University","United States of America","United States of America","Match","jagadguru sri shivarathreeshwara university","1","1"
"Jagiellonian University","Poland","Poland","Match","jagiellonian university","1","1"
"Jahangirnagar University","United States of America","United States of America","Match","jahangirnagar university","1","1"
"Jain University","United States of America","United States of America","Match","jain university","1","1"
"James Cook University","Australia","Australia","Match","james cook university","1","1"
"James Madison University","United States of America","United States of America","Match","james madison university","1","1"
"Jamia Millia Islamia","United States of America","United States of America","Match","jamia millia islamia","1","1"
"Jan Evangelista Purkyne University in Usti nad Labem","United States of America","United States of America","Match","jan evangelista purkyne university in usti nad labem","1","1"
"Japan Advanced Institute of Science & Technology","United States of America","United States of America","Match","japan advanced institute of science and technology","1","1"
"Jawaharlal Institute of Postgraduate Medical Education & Research","United States of America","United States of America","Match","jawaharlal institute of postgraduate medical education and research","1","1"
"Jawaharlal Nehru Centre for Advanced Scientific Research","United States of America","United States of America","Match","jawaharlal nehru centre for advanced scientific research","1","1"
"Jawaharlal Nehru University","United States of America","United States of America","Match","jawaharlal nehru university","1","1"
"Jazan University","United States of America","United States of America","Match","jazan university","1","1"
"Jefferson (Philadelphia University and Thomas Jefferson University)","United States of America","United States of America","Match","jefferson philadelphia university and thomas jefferson university","1","1"
"Jefferson College of Health Sciences","United States of America","United States of America","Match","jefferson college of health sciences","1","1"
"Jeju National University (Cheju)","United States of America","United States of America","Match","jeju national university cheju","1","1"
"Jianghan University","United States of America","United States of America","Match","jianghan university","1","1"
"Jiangnan University","China","China","Match","jiangnan university","1","1"
"Jiangnan University (Southern Yangtze University)","United States of America","United States of America","Match","jiangnan university southern yangtze university","1","1"
"Jiangsu Normal University","United States of America","United States of America","Match","jiangsu normal university","1","1"
"Jiangsu University","United States of America","United States of America","Match","jiangsu university","1","1"
"Jiangsu University of Science & Technology","United States of America","United States of America","Match","jiangsu university of science and technology","1","1"
"Jiangxi Agricultural University","United States of America","United States of America","Match","jiangxi agricultural university","1","1"
"Jiangxi Normal University (National Chung Cheng University)","United States of America","United States of America","Match","jiangxi normal university national chung cheng university","1","1"
"Jiangxi University of Finance & Economics","United States of America","United States of America","Match","jiangxi university of finance and economics","1","1"
"Jiangxi University of Science & Technology","United States of America","United States of America","Match","jiangxi university of science and technology","1","1"
"Jiaxing University","United States of America","United States of America","Match","jiaxing university","1","1"
"Jichi Medical School","United States of America","United States of America","Match","jichi medical school","1","1"
"Jikei University School of Medicine","United States of America","United States of America","Match","jikei university school of medicine","1","1"
"Jilin Agricultural University","United States of America","United States of America","Match","jilin agricultural university","1","1"
"Jilin Normal University","United States of America","United States of America","Match","jilin normal university","1","1"
"Jilin University","China","China","Match","jilin university","1","1"
"Jimei University","United States of America","United States of America","Match","jimei university","1","1"
"Jimma University","United States of America","United States of America","Match","jimma university","1","1"
"Jinan University","United States of America","United States of America","Match","jinan university","1","1"
"Jinan University (China)","China","China","Match","jinan university china","1","1"
"Jishou University","United States of America","United States of America","Match","jishou university","1","1"
"Johann Wolfgang Goethe Universitat Frankfurt am Main","United States of America","United States of America","Match","johann wolfgang goethe universitat frankfurt am main","1","1"
"Johannes Gutenberg Universitat Mainz","Germany","Germany","Match","johannes gutenberg universitat mainz","1","1"
"Johannes Gutenberg University of Mainz","Germany","Germany","Match","johannes gutenberg university of mainz","1","1"
"Johannes Kepler Universitat Linz","United States of America","United States of America","Match","johannes kepler universitat linz","1","1"
"Johannes Kepler University Linz","Austria","Austria","Match","johannes kepler university linz","1","1"
"John Carroll University","United States of America","United States of America","Match","john carroll university","1","1"
"Johns Hopkins University","United States of America","United States of America","Match","johns hopkins university","1","1"
"Johns Hopkins University School of Medicine","United States of America","United States of America","Match","johns hopkins university school of medicine","1","1"
"Jomo Kenyatta University of Agriculture and Technology","United States of America","United States of America","Match","jomo kenyatta university of agriculture and technology","1","1"
"Jones Graduate School of Business (Rice University)","United States of America","United States of America","Match","jones graduate school of business rice university","1","1"
"Jonkoping University","United States of America","United States of America","Match","jonkoping university","1","1"
"Jordan University of Science & Technology","Jordan","Jordan","Match","jordan university of science and technology","1","1"
"Josip Juraj Strossmayer University of Osijek","United States of America","United States of America","Match","josip juraj strossmayer university of osijek","1","1"
"Julius-Maximilians-Universitat Wurzburg","Germany","Germany","Match","julius maximilians universitat wurzburg","1","1"
"Juntendo University","United States of America","United States of America","Match","juntendo university","1","1"
"Jyvaskyla University","United States of America","United States of America","Match","jyvaskyla university","1","1"
"K L University","United States of America","United States of America","Match","k l university","1","1"
"Kadir Has University","United States of America","United States of America","Match","kadir has university","1","1"
"Kafkas University","United States of America","United States of America","Match","kafkas university","1","1"
"Kafr El Sheikh University","United States of America","United States of America","Match","kafr el sheikh university","1","1"
"Kagawa University","United States of America","United States of America","Match","kagawa university","1","1"
"Kagoshima University","United States of America","United States of America","Match","kagoshima university","1","1"
"Kahramanmaras Sutcu Imam University","United States of America","United States of America","Match","kahramanmaras sutcu imam university","1","1"
"KAIST - Korea Advanced Institute of Science & Technology","South Korea","South Korea","Match","kaist korea advanced institute of science and technology","1","1"
"Kampala International University","United States of America","United States of America","Match","kampala international university","1","1"
"Kanagawa University","United States of America","United States of America","Match","kanagawa university","1","1"
"Kanazawa University","Japan","Japan","Match","kanazawa university","1","1"
"Kangwon National University (Samcheok National University)","United States of America","United States of America","Match","kangwon national university samcheok national university","1","1"
"Kansai Medical University","United States of America","United States of America","Match","kansai medical university","1","1"
"Kansai University","United States of America","United States of America","Match","kansai university","1","1"
"Kansas State University","United States of America","United States of America","Match","kansas state university","1","1"
"Kaohsiung Medical University","Taiwan","Taiwan","Match","kaohsiung medical university","1","1"
"Karabuk University","United States of America","United States of America","Match","karabuk university","1","1"
"Karadeniz Technical University","United States of America","United States of America","Match","karadeniz technical university","1","1"
"Karaganda Buketov University","Kazakhstan","Kazakhstan","Match","karaganda buketov university","1","1"
"Karamanoglu Mehmetbey University","United States of America","United States of America","Match","karamanoglu mehmetbey university","1","1"
"Karlsruhe Institute of Technology","Germany","Germany","Match","karlsruhe institute of technology","1","1"
"Karlsruhe Institute of Technology (Universitat Karlsruhe)","United States of America","United States of America","Match","karlsruhe institute of technology universitat karlsruhe","1","1"
"Karolinska Institutet","Sweden","Sweden","Match","karolinska institutet","1","1"
"Karunya University","United States of America","United States of America","Match","karunya university","1","1"
"Kasetsart University","Thailand","Thailand","Match","kasetsart university","1","1"
"Kastamonu University","United States of America","United States of America","Match","kastamonu university","1","1"
"Kathmandu University","United States of America","United States of America","Match","kathmandu university","1","1"
"Katholische Universitat Eichstatt Ingolstadt","United States of America","United States of America","Match","katholische universitat eichstatt ingolstadt","1","1"
"Kaunas University of Technology","Lithuania","Lithuania","Match","kaunas university of technology","1","1"
"Kazakh National Agrarian University","Kazakhstan","Kazakhstan","Match","kazakh national agrarian university","1","1"
"Kazakh National Pedagogical University Abai","Kazakhstan","Kazakhstan","Match","kazakh national pedagogical university abai","1","1"
"Kazakh National University Al Farabi","United States of America","United States of America","Match","kazakh national university al farabi","1","1"
"Kazan (Volga Region) Federal University","United States of America","United States of America","Match","kazan volga region federal university","1","1"
"Kazan Federal University","Russian Federation","Russian Federation","Match","kazan federal university","1","1"
"Kazimierz Wielki University Bydgoszcz","United States of America","United States of America","Match","kazimierz wielki university bydgoszcz","1","1"
"Kean University","United States of America","United States of America","Match","kean university","1","1"
"Keck Graduate Institute","United States of America","United States of America","Match","keck graduate institute","1","1"
"Kedge Business School","United States of America","United States of America","Match","kedge business school","1","1"
"Keele University","United Kingdom","United Kingdom","Match","keele university","1","1"
"Keimyung University","United States of America","United States of America","Match","keimyung university","1","1"
"Keio University","Japan","Japan","Match","keio university","1","1"
"Kennesaw State University","United States of America","United States of America","Match","kennesaw state university","1","1"
"Kent State University","United States of America","United States of America","Match","kent state university","1","1"
"Kenyatta University","United States of America","United States of America","Match","kenyatta university","1","1"
"Kenyon College","United States of America","United States of America","Match","kenyon college","1","1"
"Kerman University of Medical Sciences","United States of America","United States of America","Match","kerman university of medical sciences","1","1"
"Kettering College","United States of America","United States of America","Match","kettering college","1","1"
"Kettering University","United States of America","United States of America","Match","kettering university","1","1"
"Khaje Nassir Toosi University of Technology","United States of America","United States of America","Match","khaje nassir toosi university of technology","1","1"
"Khalifa University","United States of America","United States of America","Match","khalifa university","1","1"
"Khalifa University of Science and Technology","United Arab Emirates","United Arab Emirates","Match","khalifa university of science and technology","1","1"
"Kharazmi University (Tarbiat Moallem University Tehran)","United States of America","United States of America","Match","kharazmi university tarbiat moallem university tehran","1","1"
"Kharkiv National University VN Karazin","United States of America","United States of America","Match","kharkiv national university vn karazin","1","1"
"Khazar University","Azerbaijan","Azerbaijan","Match","khazar university","1","1"
"Khoja Akhmet Yassawi International Kazakh-Turkish University","Kazakhstan","Kazakhstan","Match","khoja akhmet yassawi international kazakh turkish university","1","1"
"Khon Kaen University","Thailand","Thailand","Match","khon kaen university","1","1"
"Khulna University","United States of America","United States of America","Match","khulna university","1","1"
"KIIT University Kalinga Institute of Industrial Technology","United States of America","United States of America","Match","kiit university kalinga institute of industrial technology","1","1"
"Kindai University (Kinki University)","United States of America","United States of America","Match","kindai university kinki university","1","1"
"King Abdul Aziz University (KAU)","Saudi Arabia","Saudi Arabia","Match","king abdul aziz university kau","1","1"
"King Abdulaziz University","United States of America","United States of America","Match","king abdulaziz university","1","1"
"King Abdullah University of Science & Technology","United States of America","United States of America","Match","king abdullah university of science and technology","1","1"
"King Fahd University of Petroleum & Minerals","Saudi Arabia","Saudi Arabia","Match","king fahd university of petroleum and minerals","1","1"
"King Faisal University","Saudi Arabia","Saudi Arabia","Match","king faisal university","1","1"
"King Khalid University","Saudi Arabia","Saudi Arabia","Match","king khalid university","1","1"
"King Mongkuts Institute of Technology Ladkrabang","United States of America","United States of America","Match","king mongkuts institute of technology ladkrabang","1","1"
"King Mongkuts University of Technology North Bangkok","United States of America","United States of America","Match","king mongkuts university of technology north bangkok","1","1"
"King Mongkuts University of Technology Thonburi","Thailand","Thailand","Match","king mongkuts university of technology thonburi","1","1"
"King Saud University","Saudi Arabia","Saudi Arabia","Match","king saud university","1","1"
"Kings College London","United Kingdom","United Kingdom","Match","kings college london","1","1"
"Kingston University, London","United Kingdom","United Kingdom","Match","kingston university london","1","1"
"Kirikkale University","United States of America","United States of America","Match","kirikkale university","1","1"
"Kirklareli University","United States of America","United States of America","Match","kirklareli university","1","1"
"Kitasato University","United States of America","United States of America","Match","kitasato university","1","1"
"Klaipeda University","United States of America","United States of America","Match","klaipeda university","1","1"
"Kobe University","Japan","Japan","Match","kobe university","1","1"
"Koc University","Turkiye","Turkiye","Match","koc university","1","1"
"Kocaeli University","United States of America","United States of America","Match","kocaeli university","1","1"
"Kochi University","United States of America","United States of America","Match","kochi university","1","1"
"Kochi University of Technology","United States of America","United States of America","Match","kochi university of technology","1","1"
"Kogakuin University","United States of America","United States of America","Match","kogakuin university","1","1"
"Kongju National University","United States of America","United States of America","Match","kongju national university","1","1"
"Konkuk University","South Korea","South Korea","Match","konkuk university","1","1"
"Kookmin University","United States of America","United States of America","Match","kookmin university","1","1"
"Korea Advanced Institute of Science & Technology KAIST","South Korea","South Korea","Match","korea advanced institute of science and technology kaist","1","1"
"Korea Institute for Advanced Study","South Korea","South Korea","Match","korea institute for advanced study","1","1"
"Korea Maritime University","South Korea","South Korea","Match","korea maritime university","1","1"
"Korea National University of Transportation","South Korea","South Korea","Match","korea national university of transportation","1","1"
"Korea University","South Korea","South Korea","Match","korea university","1","1"
"KTH Royal Institute of Technology","Sweden","Sweden","Match","kth royal institute of technology","1","1"
"KTO Karatay University","United States of America","United States of America","Match","kto karatay university","1","1"
"KU Leuven","Belgium","Belgium","Match","ku leuven","1","1"
"Kufa University","United States of America","United States of America","Match","kufa university","1","1"
"Kumamoto University","Japan","Japan","Match","kumamoto university","1","1"
"Kumoh National Institute of Technology","United States of America","United States of America","Match","kumoh national institute of technology","1","1"
"Kunming Medical University","United States of America","United States of America","Match","kunming medical university","1","1"
"Kunming University of Science & Technology","United States of America","United States of America","Match","kunming university of science and technology","1","1"
"Kunsan National University","United States of America","United States of America","Match","kunsan national university","1","1"
"Kurukshetra University","United States of America","United States of America","Match","kurukshetra university","1","1"
"Kurume University","United States of America","United States of America","Match","kurume university","1","1"
"Kuwait University","Kuwait","Kuwait","Match","kuwait university","1","1"
"Kwame Nkrumah University of Science & Technology","United States of America","United States of America","Match","kwame nkrumah university of science and technology","1","1"
"Kwangwoon University","United States of America","United States of America","Match","kwangwoon university","1","1"
"Kwansei Gakuin University","United States of America","United States of America","Match","kwansei gakuin university","1","1"
"Kyonggi University","United States of America","United States of America","Match","kyonggi university","1","1"
"Kyorin University","United States of America","United States of America","Match","kyorin university","1","1"
"Kyoto Institute of Technology","Japan","Japan","Match","kyoto institute of technology","1","1"
"Kyoto Prefectural University of Medicine","Japan","Japan","Match","kyoto prefectural university of medicine","1","1"
"Kyoto Sangyo University","Japan","Japan","Match","kyoto sangyo university","1","1"
"Kyoto University","Japan","Japan","Match","kyoto university","1","1"
"Kyrgyz-Turkish Manas University","Kyrgyzstan","Kyrgyzstan","Match","kyrgyz turkish manas university","1","1"
"Kyung Hee University","South Korea","South Korea","Match","kyung hee university","1","1"
"Kyungpook (Kyungbook) National University","United States of America","United States of America","Match","kyungpook kyungbook national university","1","1"
"Kyungpook National University","South Korea","South Korea","Match","kyungpook national university","1","1"
"Kyushu Institute of Technology","United States of America","United States of America","Match","kyushu institute of technology","1","1"
"Kyushu University","Japan","Japan","Match","kyushu university","1","1"
"L N Gumilov Eurasian National University","United States of America","United States of America","Match","l n gumilov eurasian national university","1","1"
"L.N. Gumilyov Eurasian National University","Kazakhstan","Kazakhstan","Match","l n gumilyov eurasian national university","1","1"
"La Salle University","United States of America","United States of America","Match","la salle university","1","1"
"La Trobe University","Australia","Australia","Match","la trobe university","1","1"
"Ladoke Akintola University of Technology","United States of America","United States of America","Match","ladoke akintola university of technology","1","1"
"Lafayette College","United States of America","United States of America","Match","lafayette college","1","1"
"Lahore University of Management Sciences","United States of America","United States of America","Match","lahore university of management sciences","1","1"
"Lahore University of Management Sciences (LUMS)","Pakistan","Pakistan","Match","lahore university of management sciences lums","1","1"
"Lakehead University","Canada","Canada","Match","lakehead university","1","1"
"Lakeview College of Nursing","United States of America","United States of America","Match","lakeview college of nursing","1","1"
"Lamar University","United States of America","United States of America","Match","lamar university","1","1"
"Lancaster General College of Nursing & Health Sciences","United States of America","United States of America","Match","lancaster general college of nursing and health sciences","1","1"
"Lancaster University","United Kingdom","United Kingdom","Match","lancaster university","1","1"
"Landmark University","United States of America","United States of America","Match","landmark university","1","1"
"Lanzhou Jiaotong University","United States of America","United States of America","Match","lanzhou jiaotong university","1","1"
"Lanzhou University","China","China","Match","lanzhou university","1","1"
"Lanzhou University of Technology (Gansu University of Technology)","United States of America","United States of America","Match","lanzhou university of technology gansu university of technology","1","1"
"Lappeenranta University of Technology","United States of America","United States of America","Match","lappeenranta university of technology","1","1"
"Lappeenranta-Lahti University of Technology LUT","Finland","Finland","Match","lappeenranta lahti university of technology lut","1","1"
"Laval University","Canada","Canada","Match","laval university","1","1"
"Lawrence Technological University","United States of America","United States of America","Match","lawrence technological university","1","1"
"Lebanese American University","Lebanon","Lebanon","Match","lebanese american university","1","1"
"Lebanese University","Lebanon","Lebanon","Match","lebanese university","1","1"
"Leeds Beckett University (Leeds Metropolitan University)","United Kingdom","United Kingdom","Match","leeds beckett university leeds metropolitan university","1","1"
"Lehigh University","United States of America","United States of America","Match","lehigh university","1","1"
"Leibniz Universitat Hannover","Germany","Germany","Match","leibniz universitat hannover","1","1"
"Leiden University","Netherlands","Netherlands","Match","leiden university","1","1"
